comparison,target,horizon,reference_model,comparison_model,parameter_count_reference,parameter_count_comparison,parameter_count_difference_comparison_minus_reference,parameter_count_ratio_comparison_over_reference,rmse_reference,rmse_comparison,rmse_difference_comparison_minus_reference,rmse_advantage,seed_sd_rmse_reference,seed_sd_rmse_comparison,mae_reference,mae_comparison,mae_difference_comparison_minus_reference,mae_advantage,seed_sd_mae_reference,seed_sd_mae_comparison,mase_reference,mase_comparison,mase_difference_comparison_minus_reference,mase_advantage,seed_sd_mase_reference,seed_sd_mase_comparison
attention,ASPH,1,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,857,569,-288,0.6639439906651109,0.0041753371862701715,0.0022074522738132767,-0.001967884912456895,CNN_BiLSTM_Compact_NoAttention,0.0006694574447360078,0.001156659938775529,0.004126410475788501,0.0020376273093744134,-0.0020887831664140877,CNN_BiLSTM_Compact_NoAttention,0.0006938335139566667,0.00119158055757962,0.841634205549583,0.4076036626758829,-0.43403054287370013,CNN_BiLSTM_Compact_NoAttention,0.1439592743634208,0.24443132124982198
attention,ASPH,2,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,857,569,-288,0.6639439906651109,0.007125313035254584,0.00484844039001986,-0.0022768726452347243,CNN_BiLSTM_Compact_NoAttention,0.0017603835696063867,0.002076417320830172,0.0069998724848736454,0.004391435883203149,-0.002608436601670497,CNN_BiLSTM_Compact_NoAttention,0.0019071699820353216,0.002463578285940813,1.402745350416676,0.8639976108239764,-0.5387477395926996,CNN_BiLSTM_Compact_NoAttention,0.39197693837212416,0.5038387596229021
attention,ASPH,5,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,857,569,-288,0.6639439906651109,0.05766463117544335,0.05659116318376941,-0.001073467991673939,CNN_BiLSTM_Compact_NoAttention,0.002607109055304701,0.003060223019161027,0.057620475647544835,0.056567718368024524,-0.001052757279520311,CNN_BiLSTM_Compact_NoAttention,0.0026170771646685702,0.00314636205312321,11.208050529277688,10.986382262663932,-0.22166826661375616,CNN_BiLSTM_Compact_NoAttention,0.5121898326703234,0.6262099306655521
attention,MTC,1,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,857,569,-288,0.6639439906651109,0.0011008926075052707,0.0011036992038177228,2.8065963124520536e-06,CNN_BiLSTM_Attention_Compact,0.00023907179657980224,0.0002763527498415034,0.0008935288324999963,0.000856206416234616,-3.732241626538035e-05,CNN_BiLSTM_Compact_NoAttention,0.00016095642627528907,0.000183379271257559,0.06887191510955148,0.06583587793074396,-0.0030360371788075297,CNN_BiLSTM_Compact_NoAttention,0.012273493855770989,0.01383568612720673
attention,MTC,2,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,857,569,-288,0.6639439906651109,0.0030642857205603483,0.002966292709580835,-9.799301097951308e-05,CNN_BiLSTM_Compact_NoAttention,0.0003843770138637149,0.0003674896719732484,0.0023349315063659172,0.002163932399528664,-0.00017099910683725326,CNN_BiLSTM_Compact_NoAttention,0.00024368610915961704,0.0002918774240171239,0.1785413705257762,0.1653238769856546,-0.013217493540121611,CNN_BiLSTM_Compact_NoAttention,0.019177501638726654,0.02251176258192889
attention,MTC,5,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,857,569,-288,0.6639439906651109,0.009187865164898164,0.008640147450064296,-0.0005477177148338688,CNN_BiLSTM_Compact_NoAttention,0.0016481173720217853,0.001118684539323619,0.007365329749823195,0.006912666674671909,-0.0004526630751512861,CNN_BiLSTM_Compact_NoAttention,0.0008704914613044597,0.0008626992022698263,0.5574961633670027,0.5238274470442532,-0.03366871632274948,CNN_BiLSTM_Compact_NoAttention,0.06239500160719462,0.06423647818440902
capacity,ASPH,1,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,857,22369,21512,26.10151691948658,0.0041753371862701715,0.00021682691819882187,-0.00395851026807135,CNN_BiLSTM_Attention_Original23K,0.0006694574447360078,5.4500403327792934e-05,0.004126410475788501,0.00015974061118718808,-0.003966669864601313,CNN_BiLSTM_Attention_Original23K,0.0006938335139566667,3.4034439204076265e-05,0.841634205549583,0.031996933164148096,-0.8096372723854349,CNN_BiLSTM_Attention_Original23K,0.1439592743634208,0.006619876325688345
capacity,ASPH,2,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,857,22369,21512,26.10151691948658,0.007125313035254584,0.013145062195494184,0.0060197491602396,CNN_BiLSTM_Attention_Compact,0.0017603835696063867,0.0019953892287722457,0.0069998724848736454,0.013130682627246579,0.006130810142372933,CNN_BiLSTM_Attention_Compact,0.0019071699820353216,0.0019629115497291076,1.402745350416676,2.660994407401399,1.258249056984723,CNN_BiLSTM_Attention_Compact,0.39197693837212416,0.40012813461184976
capacity,ASPH,5,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,857,22369,21512,26.10151691948658,0.05766463117544335,0.05840027611420232,0.0007356449387589739,CNN_BiLSTM_Attention_Compact,0.002607109055304701,0.0013602360399887394,0.057620475647544835,0.05837725339007149,0.0007567777425266584,CNN_BiLSTM_Attention_Compact,0.0026170771646685702,0.0013627198870866091,11.208050529277688,11.346468435168779,0.1384179058910906,CNN_BiLSTM_Attention_Compact,0.5121898326703234,0.2704838132453932
capacity,MTC,1,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,857,22369,21512,26.10151691948658,0.0011008926075052707,0.0012161529028130939,0.00011526029530782318,CNN_BiLSTM_Attention_Compact,0.00023907179657980224,0.00012125901608419806,0.0008935288324999963,0.0009120275560956021,1.849872359560578e-05,CNN_BiLSTM_Attention_Compact,0.00016095642627528907,9.339450982916426e-05,0.06887191510955148,0.07082181406757267,0.0019498989580211817,CNN_BiLSTM_Attention_Compact,0.012273493855770989,0.007147851928802819
