comparison_family,model_A,model_B,target,horizon,paired_n,rmse_difference_B_minus_A,mae_difference_B_minus_A,paired_bootstrap_repetitions,bootstrap_type,bootstrap_block_length,rmse_difference_bootstrap_lower_95,rmse_difference_bootstrap_upper_95,mae_difference_bootstrap_lower_95,mae_difference_bootstrap_upper_95,bootstrap_interpretation,dm_hln_statistic,raw_p_value,holm_adjusted_p_value,validity_flag,undefined_reason,interpretation_flag,caution,bootstrap_seed
attention,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,ASPH,1,9,-0.001967884912456895,-0.0020887831664140877,5000,iid paired,1,-0.002161622919380914,-0.001790581325414274,-0.0022658550740093783,-0.0018916256929088918,paired_small_sample_interval,-14.548241984959075,4.883258107900848e-07,2.4416290539504238e-06,valid,,statistically_detected_difference,Non-rejection is not evidence of equivalence; paired annual samples are small.,2284315053
attention,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,ASPH,2,8,-0.0022768726452347243,-0.002608436601670497,5000,circular moving-block paired,3,-0.003113418702725536,-0.001665366956914694,-0.003168464726114442,-0.0019904626854728574,paired_small_sample_interval,-13.240152982329322,3.277932367493581e-06,1.3111729469974324e-05,valid,,statistically_detected_difference,Non-rejection is not evidence of equivalence; paired annual samples are small.,2388828683
attention,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,ASPH,5,5,-0.001073467991673939,-0.001052757279520311,5000,circular moving-block paired,5,-0.001073467991673939,-0.001073467991673939,-0.001052757279520311,-0.001052757279520311,exploratory_extremely_unstable,,,,disabled_a_priori_descriptive_only,ASPH h5 disabled a priori: n=5 gives zero HLN correction,descriptive_only_no_p_value,Non-rejection is not evidence of equivalence; paired annual samples are small.,2427449368
attention,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,MTC,1,18,2.8065963124520536e-06,-3.732241626538035e-05,5000,iid paired,1,-0.00019346252081696623,0.0001978463574032623,-0.00018684488390575062,0.00011982066810468894,paired_small_sample_interval,0.026457538456165164,0.9792005027753318,0.9792005027753318,valid,,no_detected_difference_with_limited_power,Non-rejection is not evidence of equivalence; paired annual samples are small.,2466040038
attention,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,MTC,2,17,-9.799301097951308e-05,-0.00017099910683725326,5000,circular moving-block paired,5,-0.0002506382818897942,-2.0614711772024715e-05,-0.0002658864329723986,-6.978898596563801e-05,paired_small_sample_interval,-2.0592480902915953,0.056130175516433185,0.16839052654929956,valid,,no_detected_difference_with_limited_power,Non-rejection is not evidence of equivalence; paired annual samples are small.,3075323367
attention,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Compact_NoAttention,MTC,5,14,-0.0005477177148338688,-0.0004526630751512861,5000,circular moving-block paired,5,-0.0010241478604231628,3.396237173854729e-05,-0.0009596185794529897,-3.827711699086033e-05,paired_small_sample_interval,-0.8899965967651854,0.38964109056493523,0.7792821811298705,valid,,no_detected_difference_with_limited_power,Non-rejection is not evidence of equivalence; paired annual samples are small.,2509468049
capacity,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,ASPH,1,9,-0.00395851026807135,-0.003966669864601313,5000,iid paired,1,-0.004319228932451951,-0.0035389430790073477,-0.00434921122917907,-0.0034960673635225765,paired_small_sample_interval,-10.483128175320656,5.9616176704181875e-06,2.384647068167275e-05,valid,,statistically_detected_difference,Non-rejection is not evidence of equivalence; paired annual samples are small.,218560826
capacity,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,ASPH,2,8,0.0060197491602396,0.006130810142372933,5000,circular moving-block paired,3,0.005385671645100218,0.006929086034305986,0.005443907468085603,0.006968665621456344,paired_small_sample_interval,13.824349694690325,2.4470357670442556e-06,1.2235178835221279e-05,valid,,statistically_detected_difference,Non-rejection is not evidence of equivalence; paired annual samples are small.,694628021
capacity,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,ASPH,5,5,0.0007356449387589739,0.0007567777425266584,5000,circular moving-block paired,5,0.0007356449387589739,0.0007356449387589808,0.0007567777425266584,0.0007567777425266584,exploratory_extremely_unstable,,,,disabled_a_priori_descriptive_only,ASPH h5 disabled a priori: n=5 gives zero HLN correction,descriptive_only_no_p_value,Non-rejection is not evidence of equivalence; paired annual samples are small.,2202222395
capacity,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Original23K,MTC,1,18,0.00011526029530782318,1.849872359560578e-05,5000,iid paired,1,-0.00020714186556540439,0.00034005881577875197,-0.00027206712048782016,0.0002627516190622489,paired_small_sample_interval,0.7802933715432938,0.4459475149772029,1.0,valid,,no_detected_difference_with_limited_power,Non-rejection is not evidence of equivalence; paired annual samples are small.,63360089
