target,horizon,model_family,model,model_label,representation,nominal_coverage,forecast_n,valid_interval_n,missing_or_invalid_interval_n,empirical_coverage,mean_interval_width,median_interval_width,coverage_direction,interval_method,undefined_reason,small_sample_flag
ASPH,1,classical_ml,RandomForest,RandomForest [first_difference_direct],first_difference_direct,0.8,9,2,7,1.0,0.004945749238698394,0.004945749238698394,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,RandomForest,RandomForest [first_difference_direct],first_difference_direct,0.95,9,2,7,1.0,0.004945749238698394,0.004945749238698394,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,0.8,9,2,7,1.0,0.03544704049541869,0.03544704049541869,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,0.95,9,2,7,1.0,0.03544704049541869,0.03544704049541869,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,SVR,SVR [first_difference_direct],first_difference_direct,0.8,9,2,7,1.0,0.0008978244136129687,0.0008978244136129687,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,SVR,SVR [first_difference_direct],first_difference_direct,0.95,9,2,7,1.0,0.0008978244136129687,0.0008978244136129687,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,SVR,SVR [linear_detrend_direct],linear_detrend_direct,0.8,9,2,7,1.0,0.011387487820678333,0.011387487820678333,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,SVR,SVR [linear_detrend_direct],linear_detrend_direct,0.95,9,2,7,1.0,0.011387487820678333,0.011387487820678333,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,XGBoost,XGBoost [first_difference_direct],first_difference_direct,0.8,9,2,7,1.0,0.005300031743158962,0.005300031743158962,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,XGBoost,XGBoost [first_difference_direct],first_difference_direct,0.95,9,2,7,1.0,0.005300031743158962,0.005300031743158962,overcoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,0.8,9,2,7,0.5,0.031702589388395874,0.031702589388395874,undercoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,classical_ml,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,0.95,9,2,7,0.5,0.031702589388395874,0.031702589388395874,undercoverage,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,,
ASPH,1,neural_ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,neural_ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,neural_ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,neural_ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,BiLSTM,BiLSTM,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,BiLSTM,BiLSTM,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CNN_GRU,CNN_GRU,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CNN_GRU,CNN_GRU,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CNN_LSTM,CNN_LSTM,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CNN_LSTM,CNN_LSTM,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CausalCNN,CausalCNN,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,CausalCNN,CausalCNN,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,GRU,GRU,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,GRU,GRU,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,LSTM,LSTM,first_difference_direct,0.8,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,primary_neural,LSTM,LSTM,first_difference_direct,0.95,9,0,9,,,,not_estimable,not available: no frozen neural predictive-interval method,no frozen neural predictive-interval method,
ASPH,1,statistical,ARIMA,ARIMA,statistical_native,0.8,9,9,0,1.0,0.0007657475094179603,0.000747015570332743,overcoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,ARIMA,ARIMA,statistical_native,0.95,9,9,0,1.0,0.0011711097548171197,0.0011424617261660552,overcoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,Drift,Drift,statistical_native,0.8,9,9,0,0.0,0.004547202346589501,0.004775030812541603,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,Drift,Drift,statistical_native,0.95,9,9,0,0.0,0.0066490181045593556,0.006879491486609934,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,ETS,ETS,statistical_native,0.8,9,9,0,0.7777777777777778,0.0008564220586491275,0.0008471947125035517,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,ETS,ETS,statistical_native,0.95,9,9,0,0.8888888888888888,0.002022924343094898,0.001978552283410928,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,LinearTrend,LinearTrend,statistical_native,0.8,9,9,0,0.0,0.03439807634018196,0.0345532247871726,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,LinearTrend,LinearTrend,statistical_native,0.95,9,9,0,0.1111111111111111,0.05391511925961093,0.05417275129901877,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,Naive,Naive,statistical_native,0.8,9,9,0,1.0,0.01031336112566128,0.010996507894450669,overcoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,Naive,Naive,statistical_native,0.95,9,9,0,1.0,0.0116859665039541,0.012211781539000155,overcoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,Theta,Theta,statistical_native,0.8,9,9,0,0.0,0.004926886517292351,0.005073538435549141,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,1,statistical,Theta,Theta,statistical_native,0.95,9,9,0,0.5555555555555556,0.007535022693921355,0.007759307448257369,undercoverage,frozen statistical model-native or training-only empirical method,,
ASPH,2,classical_ml,RandomForest,RandomForest [first_difference_direct],first_difference_direct,0.8,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,RandomForest,RandomForest [first_difference_direct],first_difference_direct,0.95,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
ASPH,2,classical_ml,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,0.8,8,0,8,,,,not_estimable,frozen rolling finite-sample conformal; last 8 eligible historical pseudo-origins; minimum 8 residuals,fewer than 8 conformal residuals or interval unavailable,
