target,horizon,model_family,role,model,model_label,representation,lookback,seed,summary_type,expected_n,successful_n,failed_n,completeness_percent,ranking_eligible,rmse,mae,mase,rmsse,smape_percent,directional_accuracy_percent,mean_error,median_error,r_squared,undefined_reason
ASPH,1,classical_ml,primary,RandomForest,RandomForest [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,9,9,0,100.0,True,0.0011001655397593825,0.0007531627448691588,0.1442725377458548,0.1808721701111547,0.2405615867997086,77.77777777777779,-0.0006821346856156022,-3.9361874299148614e-05,0.9265671749839817,
ASPH,1,classical_ml,primary,RandomForest,RandomForest [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,9,9,0,100.0,True,0.013636919181764023,0.013285891861626715,2.7235525995629284,2.3587968314737426,4.209085853407858,0.0,-0.013285891861626715,-0.01326614006163368,-10.282535131938568,
ASPH,1,classical_ml,primary,SVR,SVR [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,9,9,0,100.0,True,0.00037179830635138486,0.00024216196895136358,0.04769698649660876,0.06199731397912887,0.07780826456063691,100.0,-0.00016868976339316313,-8.195711176772758e-06,0.991613341187432,
ASPH,1,classical_ml,primary,SVR,SVR [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,9,9,0,100.0,True,0.00976086809464923,0.008517306470130917,1.6960064876142917,1.6512221579058477,2.6967317937829907,0.0,-0.008517306470130917,-0.010028470484936158,-4.780308915340075,
ASPH,1,classical_ml,primary,XGBoost,XGBoost [first_difference_direct],first_difference_direct,3.0,20260810,individual_seed_or_deterministic_fit,9,9,0,100.0,True,0.0022995212906077546,0.0019198674583446656,0.37877433515707654,0.3858370439076333,0.6150485145529854,33.33333333333333,-0.0019198674583446656,-0.002313036804838575,0.6791891625106851,
ASPH,1,classical_ml,primary,XGBoost,XGBoost [linear_detrend_direct],linear_detrend_direct,3.0,20260810,individual_seed_or_deterministic_fit,9,9,0,100.0,True,0.019363552690300396,0.01868270473653309,3.850811032870501,3.3727060229069346,5.86774363485015,0.0,-0.01868270473653309,-0.019050558033884335,-21.74805367788141,
ASPH,1,neural_ablation,ablation,CNN_BiLSTM_Attention_Original23K,CNN_BiLSTM_Attention_Original23K,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,9,9,0,100.0,True,0.00021682691819882187,0.00015974061118718808,0.031996933164148096,0.03590351141331238,0.05157379697844309,100.0,-5.633370515968474e-06,8.817357279322646e-05,0.9971476648398518,
ASPH,1,neural_ablation,ablation,CNN_BiLSTM_Compact_NoAttention,CNN_BiLSTM_Compact_NoAttention,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,9,9,0,100.0,True,0.0022074522738132767,0.0020376273093744134,0.4076036626758829,0.37322086168698154,0.6548296326158718,22.22222222222222,-0.0020376273093744134,-0.002125828655303308,0.7043643478904641,
ASPH,1,primary_neural,primary,BiLSTM,BiLSTM,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,9,9,0,100.0,True,0.00023731921049119738,0.00021270135900509758,0.043948105629203295,0.041170884177252585,0.06905238570708533,100.0,0.00010377110076397066,0.00021935074847906355,0.9965830395592474,
ASPH,1,primary_neural,primary,CNN_BiLSTM_Attention_Compact,CNN_BiLSTM_Attention_Compact,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,9,9,0,100.0,True,0.0041753371862701715,0.004126410475788501,0.841634205549583,0.7188004088442735,1.3267100023939875,0.0,-0.004126410475788501,-0.004351909425058642,-0.05768724708958284,
ASPH,1,primary_neural,primary,CNN_GRU,CNN_GRU,first_difference_direct,3.0,ensemble_mean,neural_ensemble_mean,9,9,0,100.0,True,0.0012979143101895909,0.0010956447400682296,0.215033691677386,0.21512447478738622,0.35145825652684115,66.66666666666666,-0.001061912892666439,-0.000917017066429604,0.8977963978524276,
