Cell,Family,RMSE
ASPH h1,Statistical,0.0023090150465795
ASPH h1,Classical ML,0.0015497047646075
ASPH h1,Primary neural,0.001729260906627
ASPH h1,Overall,0.0015497047646075
ASPH h2,Statistical,0.0045888430318396
ASPH h2,Classical ML,0.0032764633728748
ASPH h2,Primary neural,0.0044403242234332
ASPH h2,Overall,0.0032764633728748
ASPH h5,Statistical,0.0118166106330101
ASPH h5,Classical ML,0.0179079976203072
ASPH h5,Primary neural,0.0244920973802665
ASPH h5,Overall,0.0118166106330101
MTC h1,Statistical,0.0308287789482216
MTC h1,Classical ML,0.0354045898575378
MTC h1,Primary neural,0.0302145550200068
MTC h1,Overall,0.0302145550200068
MTC h2,Statistical,0.0468579355281335
MTC h2,Classical ML,0.0397257817673518
MTC h2,Primary neural,0.0447023986111236
MTC h2,Overall,0.0397257817673518
MTC h5,Statistical,0.0743009294244163
MTC h5,Classical ML,0.0776301895081751
MTC h5,Primary neural,0.0753148661814957
MTC h5,Overall,0.0743009294244163
