target_year,comparison,cumulative_squared_error_difference
2000,ASPH h1: BiLSTM − RandomForest,9.298586789264544e-07
2001,ASPH h1: BiLSTM − RandomForest,1.9406667165577257e-06
2002,ASPH h1: BiLSTM − RandomForest,2.7373027406691613e-06
2003,ASPH h1: BiLSTM − RandomForest,3.7335069041153875e-06
2004,ASPH h1: BiLSTM − RandomForest,4.416596573194723e-06
2005,ASPH h1: BiLSTM − RandomForest,3.5506828039071267e-06
2006,ASPH h1: BiLSTM − RandomForest,3.6702593642539348e-06
2007,ASPH h1: BiLSTM − RandomForest,3.1929286798078898e-06
2008,ASPH h1: BiLSTM − RandomForest,2.3042128833934834e-06
2009,ASPH h1: BiLSTM − RandomForest,2.2903305076698817e-06
2010,ASPH h1: BiLSTM − RandomForest,1.8048019480750725e-06
2011,ASPH h1: BiLSTM − RandomForest,2.22132460464919e-06
2012,ASPH h1: BiLSTM − RandomForest,5.618428918147461e-06
2013,ASPH h1: BiLSTM − RandomForest,9.795792906719947e-06
2014,ASPH h1: BiLSTM − RandomForest,1.1329656467315887e-05
2015,ASPH h1: BiLSTM − RandomForest,1.1553824883401201e-05
2016,ASPH h1: BiLSTM − RandomForest,1.1714088756170399e-05
2017,ASPH h1: BiLSTM − RandomForest,9.274391528616399e-06
2018,ASPH h1: BiLSTM − RandomForest,9.381651774577535e-06
2019,ASPH h1: BiLSTM − RandomForest,9.357802625540561e-06
2020,ASPH h1: BiLSTM − RandomForest,6.512838332784165e-06
2021,ASPH h1: BiLSTM − RandomForest,1.418378231231915e-05
2022,ASPH h1: BiLSTM − RandomForest,1.8518446064462366e-05
2023,ASPH h1: BiLSTM − RandomForest,1.4130202217785403e-05
2000,MTC h1: CausalCNN − Theta,-6.092225214941896e-05
2001,MTC h1: CausalCNN − Theta,-0.00011221267411246644
2002,MTC h1: CausalCNN − Theta,-0.00015258456148671144
2003,MTC h1: CausalCNN − Theta,-0.00018104455932871585
2004,MTC h1: CausalCNN − Theta,-0.00020303422896906462
2005,MTC h1: CausalCNN − Theta,-0.0002155219402929766
2006,MTC h1: CausalCNN − Theta,-0.00022161008892421802
2007,MTC h1: CausalCNN − Theta,-0.00022478000509881492
2008,MTC h1: CausalCNN − Theta,-0.0002268700281669669
2009,MTC h1: CausalCNN − Theta,-0.00022893352805985735
2010,MTC h1: CausalCNN − Theta,-0.00023027645239934549
2011,MTC h1: CausalCNN − Theta,-0.00023068585775235835
2012,MTC h1: CausalCNN − Theta,-0.00023089866219655844
2013,MTC h1: CausalCNN − Theta,-0.0002303713767236636
2014,MTC h1: CausalCNN − Theta,-0.00022890608633949336
2015,MTC h1: CausalCNN − Theta,-0.00022617619859497792
2016,MTC h1: CausalCNN − Theta,-0.00022212426057972864
2017,MTC h1: CausalCNN − Theta,-0.0002161672437935947
2018,MTC h1: CausalCNN − Theta,-0.00020789691049987876
2019,MTC h1: CausalCNN − Theta,-0.00036935615358523323
2020,MTC h1: CausalCNN − Theta,-0.0005518119034347644
2021,MTC h1: CausalCNN − Theta,-0.0006266490067761245
2022,MTC h1: CausalCNN − Theta,-0.00044783241049778225
2023,MTC h1: CausalCNN − Theta,-0.0008998626331511068
